bodyId,x,y,z
662767770,7390,12680,12464
662772373,5288,15793,8256
662772393,15894,12566,9952
662776660,16674,28721,32608
662789529,11485,11731,12912
662802782,18671,18143,4952
663044088,6158,15026,9840
663091787,7374,15737,7584
663130304,16971,16922,8944
663134970,17770,15300,7592
663437249,1444,14800,9336
663493162,18982,16598,7736
663787020,14908,28167,32272
663799582,10824,16057,7792
663834152,17130,16029,8640
664141134,9108,12817,9592
664184060,18838,17278,8008
664187932,20520,17256,7664
664188056,21733,19063,5040
664188083,19899,17601,7032
664188108,21302,17741,7072
664188211,20216,17620,5568
664511977,17058,16955,10240
664814903,16587,27293,31112
665556968,23510,21360,5160
667184255,863,14393,12096
667266529,17495,7548,32280
